112-PM-061|乳頭への吸啜刺激でオキシトシンが分泌され、射乳と子宮収縮を促します。授乳時の後陣痛にも関係します。|子宮が非妊時の大きさに戻るには通常6〜8週程度かかります。2週ごろには腹壁上から触れにくくなりますが、復古完了ではありません。|産褥早期は妊娠中に貯留した水分の排泄で尿量が増えます。排尿困難による尿閉とは区別します。|胎盤の娩出に伴いプロゲステロンは急激に減少します。乳汁産生が始まる内分泌変化にも関係します。
112-PM-062|災害以外を考えるよう求めると、体験や悲しみを語る機会を妨げます。本人のペースで気持ちを聴きます。|乗り越えられると一方的に保証するより、現在の悲しみを受け止めることが先です。回復の速度には個人差があります。|大災害の直後に強い悲しみが生じることは自然な反応です。異常ではないと伝え、安心して話せる関係を作ります。|他者と比較して元気を求めると、孤立感や罪悪感を強めるおそれがあります。個人の苦痛を尊重します。
112-PM-063|攻撃性の背景にトラウマや恐怖がある可能性を考え、再び傷つけない関わりを行います。拘束中も説明と尊厳への配慮が必要です。|強く反省を迫ると興奮や防衛的反応を強める場合があります。安全確保と感情の理解を優先し、落ち着いて振り返ります。|理解できる状態に合わせて短く説明することは必要です。攻撃性がある間の説明を一律に避けるのは適切ではありません。|予定やケアの見通しは拘束中にも伝えます。情報不足による恐怖を減らし、状況を理解できるよう支援します。
112-PM-064|就労移行支援は一般就労を希望する障害者に訓練や求職支援を提供します。標準利用期間は原則2年間です。|自立生活援助は地域生活での困り事を定期訪問などで支えるサービスです。設問の就職訓練を中心とする制度ではありません。|ピアサポートは同じような経験を持つ人同士の支援です。24か月の就職訓練を定めたサービス名ではありません。|就労継続支援A型は雇用契約に基づいて働く場などを提供します。原則2年の一般就労準備を中心とする就労移行支援とは異なります。
112-PM-065|外出前にバッグの尿を捨てると重量や過充満を減らし、移動中の牽引や逆流を防ぎやすくなります。公式正答は1です。|男性は尿道の屈曲部に力がかからないよう、一般に下腹部側への固定を検討します。大腿内側へ一律に固定しません。|遮光自体は一般的な尿路感染予防の要件ではありません。尿量・色の観察やバッグを膀胱より低く保つことが重要です。|感染予防では閉鎖式回路を保ち、不要に接続を外さないことが推奨されます。公式正答は1ですが、4を誤りとする根拠は不明です。
112-PM-066|高温環境と口唇乾燥から熱中症や脱水を疑います。頭を高くすることより、冷却と循環状態の評価が優先です。|室温を下げ、腋窩などを冷やして体熱の放散を促します。往診を待つ間も意識、呼吸、循環の変化を観察します。|胃瘻があり、嚥下能力が不明で嘔気もあるため、安易に飲水させると誤嚥の危険があります。補液方法は状態と指示に沿って判断します。|下肢のマッサージは熱中症への優先対応ではありません。中枢から末梢への強い操作で改善を図る根拠もありません。
112-PM-067|理学療法士、作業療法士、言語聴覚士などを配置することもできます。看護職員だけに限定されません。|緊急時の薬剤保管がすべての訪問看護ステーションに義務付けられているわけではありません。|訪問看護は主治医の訪問看護指示書に基づき、計画を立てて提供します。病状変化時も主治医と連携します。|全従事看護職員に5年以上の臨床経験を求める一律の要件はありません。必要な知識・技術と体制は確保します。
112-PM-068|在宅での治療方針や症状を確認せず直ちに救急車を勧めるのは適切ではありません。現在の苦痛への支援を行います。|仰臥位で咳や呼吸困難が強まることがあります。本人が楽と感じる座位などの姿勢を支えます。|本人が心地よいと感じる範囲で背中をさすり、そばにいることは安心につながります。妻ができる具体的な支援です。|レスキュー薬は処方された量と間隔を守ります。看護師が独断で倍量を試すよう説明してはいけません。
112-PM-070|医療安全支援センターは都道府県等が設置する相談支援機関です。個々の医療機関に設置を求めるものではありません。|職員研修は必要ですが、医療安全管理者を養成する研修の主催をすべての医療機関に求める規定ではありません。|医療機関は安全管理のための指針を整備し、職員研修や事故報告などの体制を確保します。組織的な事故予防の基盤です。|安全管理の職員研修は年2回程度の定期実施などが求められます。2年に1回では間隔が長すぎます。
112-PM-071|災害拠点病院は都道府県が指定します。市町村が指定するという説明は不適切です。|災害対策基本法は防災基本計画、地域防災計画などの作成を定めています。災害対策を計画的に進める根拠です。|トリアージは限られた資源で救命可能性と緊急度から優先順位を判断します。救命困難な患者を一律に最優先にはしません。|精神科医療や精神保健の専門支援はDPATの役割です。DMATは主に災害急性期の医療支援を担います。
112-PM-072|まず二人の認識や希望を聴き、文化的背景と生活に合う改善方法を一緒に考えます。一方的な指導より実行可能性が高まります。|食事回数だけでなく量、内容、間食などの把握が必要です。初回から回数だけを指定する対応は不十分です。|虚血性心疾患では運動の安全性や許容量の確認が必要です。いきなり毎日1時間の運動を提案しません。|料理教室が本人たちの課題や希望に合うかは不明です。まず現在の理解と改善への考えを聴きます。
112-PM-074|IgAは粘膜や分泌液での防御に重要です。初回抗原刺激で血中に最初に増える抗体はIgMです。|IgDは主にB細胞表面で抗原受容体として働きます。初回感染で最初に多く産生される抗体ではありません。|IgEは即時型アレルギーや寄生虫への防御に関わります。細菌の初回侵入時の代表的な初期抗体ではありません。|IgGはIgMに続いて増え、二次免疫応答で速やかに多く産生されます。血中で最も多い免疫グロブリンです。|初回の抗原刺激ではまずIgMが産生されます。その後、抗体のクラススイッチなどを経てIgGが増加します。
112-PM-075|排尿は橋や仙髄などの中枢と自律・体性神経で調節されます。ホルモンによる制御を中心とする説明は誤りです。|排尿時の排尿筋収縮は骨盤神経の副交感神経作用です。交感神経は主に蓄尿を助けます。|蓄尿時は内尿道括約筋側が収縮して尿の流出を防ぎます。排尿筋は弛緩して尿をためます。|排尿時は外尿道括約筋が弛緩し、尿が通過できるようになります。収縮は尿の保持に働きます。|蓄尿時の排尿筋は弛緩します。収縮すると膀胱内圧が高まり、排尿を促します。
112-PM-076|ステロイドは血糖を上げる作用があり、インスリンが必ず顕著に低下するとはいえません。主な抑制対象はACTHです。|甲状腺ホルモンがこの機序で顕著に低下するとは限りません。外因性ステロイドは視床下部・下垂体・副腎系を抑制します。|性腺系への影響はあり得ますが、長期ステロイドによる直接的な負のフィードバックで問われるのはACTHです。|PTHはカルシウム代謝を調節します。長期ステロイド服用で一律に顕著な低下を示すホルモンではありません。|外から投与された糖質コルチコイドが負のフィードバックをかけ、下垂体のACTH分泌を抑えます。急な中止で副腎不全を起こす危険があります。
112-PM-077|Ⅰ誘導は右手と左手の電位差をみる標準肢誘導です。胸骨右縁に単一電極を置く胸部誘導ではありません。|V1は第4肋間の胸骨右縁に装着します。肋間と胸骨縁を触れて位置を確認します。|V2は第4肋間の胸骨左縁です。V1と左右を取り違えないようにします。|V4は第5肋間の左鎖骨中線上です。V3はV2とV4の中間に置きます。|aVRは右上肢の増高単極肢誘導です。第4肋間胸骨右縁に装着する胸部誘導ではありません。
112-PM-078|尿酸塩は温度が低いほど溶けにくくなるため、足趾などの末端で結晶化しやすくなります。痛風発作の好発部位に関係します。|尿酸の腎排泄を促す作用は主に女性ホルモンのエストロゲンで知られます。男性ホルモンの作用とするのは不適切です。|激しい運動ではATP分解が進み、尿酸産生が増えることがあります。脱水も尿酸値の上昇に関係します。|サイアザイド系などの利尿薬は尿酸排泄を低下させ、高尿酸血症を起こすことがあります。一律に排泄を促すわけではありません。|ヒトでは尿酸をさらに分解するウリカーゼを欠きます。主に腎臓や腸管から排泄されます。
112-PM-079|腹膜炎は腹膜透析で重要な合併症です。血液透析では血圧低下や血管アクセスの感染などに注意します。|カルシウムを一律に制限するのではなく、カルシウム・リンの値などに応じて調整します。リン、塩分、水分などの管理が重要です。|導入初期に血液の尿素が急に減ると、脳との浸透圧差から頭痛、悪心などの不均衡症候群を起こすことがあります。|出題当時、透析導入原疾患で最多は糖尿病性腎症です。IgA腎症が最多という説明ではありません。|通常の透析膜は尿素などの小分子を除き、アルブミンなどの主要な蛋白を保つよう設計されています。蛋白全般が通過するという説明は不適切です。
112-PM-080|鼻腔や咽頭を通るため通常は清潔操作で行います。無菌操作を要する尿道カテーテル挿入などと区別します。|可能なら座位や半座位で挿入し、誤嚥や気道への迷入を防ぎます。仰臥位を基本とはしません。|咽頭に達した後に頸部を軽く前屈し、食道へ進みやすくします。到達前から前屈を求める組合せは適切ではありません。|咽頭に達したら嚥下を促し、その動きに合わせて進めます。咳、呼吸苦などがあれば中止して位置を確認します。|位置が確かでないまま水を注入すると肺へ入る危険があります。適切な方法で胃内留置を確認するまで注入しません。
112-PM-081|簡易浴槽は、他人が使ったものの再利用になじみにくい特定福祉用具として購入費支給の対象です。|特殊寝台は福祉用具貸与の対象です。出題時点の特定福祉用具購入の対象ではありません。|体位変換器は貸与の対象です。購入費支給の対象となる簡易浴槽と区別します。|移動用リフト本体は貸与、身体に触れるつり具部分は特定福祉用具販売の対象です。選択肢はリフト本体を指します。|2023年の出題時点では工事不要のスロープは貸与対象です。2024年4月から固定用スロープには貸与・販売の選択制が導入されました。
112-PM-082|出生時約50cmに対し、生後6か月ではおおむね65cm程度です。まだ2倍には達しません。|1歳の身長はおおむね75cmで、出生時の約1.5倍です。体重が約3倍になることと区別します。|2歳ではおおむね85cm前後です。出生時の2倍である約100cmには達していません。|4歳ごろに身長が約100cmとなり、出生時の約50cmの2倍に達します。個人差を含む成長の目安です。|6歳では通常100cmを超えています。出生時の約2倍になる標準的な時期は4歳ごろです。
112-PM-083|卵巣由来のエストロゲンは乳房の発育など女子の第二次性徴に大きく関与します。思春期の卵巣機能の発達と結び付きます。|オキシトシンは子宮収縮や射乳に関係します。女子の第二次性徴を主に促すホルモンではありません。|成長ホルモンは身長や体組織の成長を促しますが、女子特有の性徴に最も関与するのはエストロゲンです。|甲状腺ホルモンは代謝や正常な成長発達に必要です。女子の第二次性徴に特異的な主役ではありません。|テストステロンは主に男子の第二次性徴に関与します。女子でも分泌されますが、本問の中心はエストロゲンです。
