112-AM-061|受精・着床がなければ黄体は排卵後およそ2週間で退縮します。形成後1週間で萎縮するという説明ではありません。|エストロゲンは子宮内膜を増殖させます。分泌期への変化には主にプロゲステロンが作用します。|発育卵胞の顆粒膜細胞は主にエストロゲン産生に関わります。排卵後の黄体がプロゲステロン分泌の中心です。|排卵前の高いエストロゲン濃度が正のフィードバックを起こし、LHサージを誘発して排卵につながります。
112-AM-062|不妊の原因には排卵、卵管、精子などの因子があります。原因不明が約6割という説明は適切ではありません。|基礎体温の推移は排卵や黄体機能を考える参考になります。ただし、基礎体温だけで排卵や不妊の原因を確定しません。|不妊手術は妊娠を防ぐための手術です。妊娠を目指す不妊症の治療とは目的が異なります。|加齢に伴う卵巣機能や卵子の変化は妊娠率に影響します。女性の年齢は治療を検討する重要な要素です。
112-AM-063|児頭が屈曲し、顎が胸に近づくことで小さい径で産道へ進入します。正常な第1回旋に当たります。|内回旋によって児頭の矢状縫合は骨盤出口の前後径に近づきます。出口で横径に一致するという説明は適切ではありません。|肩は骨盤出口の前後径に適合するよう回旋します。児頭娩出後の外回旋は、この肩の回旋を反映します。|胎盤の剝離と娩出は児の娩出後の分娩第3期に起こります。発露の時点を正常な剝離時期とはしません。
112-AM-064|RDSでは呼吸障害に伴う多呼吸、陥没呼吸、呻吟などがみられます。呼吸数の減少が代表的な初期所見ではありません。|肺の成熟が不十分な早産児に起こりやすい疾患です。過期産児を好発対象とする説明は逆です。|出生直後から数時間以内に呼吸障害が現れることが多く、生後24時間ころからの発症を典型とはしません。|肺サーファクタントが不足すると肺胞が虚脱しやすくなり、ガス交換が障害されます。肺の未熟性と関連します。
112-AM-065|ダウン症候群は21番染色体の異常による疾患です。運動性・音声チックを組み合わせた本問の特徴とは異なります。|複数の運動性チックと音声チックを特徴とします。汚言を伴う場合もありますが、すべての患者にみられるわけではありません。|ADHDの中心は不注意、多動性、衝動性です。チックが併存することはあっても、本問の特徴を直接示す診断ではありません。|小児期発症の難治性てんかん症候群で、複数の発作型などを特徴とします。運動性・音声チックの疾患とは異なります。
112-AM-066|リカバリは本人にとって意味のある生活や希望を取り戻す過程です。設問の力や技能の獲得を支える概念はエンパワメントです。|ストレングスは本人の強みや利用できる資源を指します。それらを生かす支援は重要ですが、設問が示す支援全体の名称とは異なります。|レジリエンスは逆境から回復・適応する力です。権利や自己制御感を支え、力を発揮できるようにする支援とは区別します。|本人の選択や力を尊重し、自分の生活を主体的に決められるよう支えることです。一方的に支援者が決定する援助ではありません。
112-AM-067|障害基礎年金の根拠は国民年金法です。障害福祉に関わる制度でも根拠法令を区別します。|雇用義務は障害者雇用促進法に基づく制度です。障害者総合支援法の医療費支援とは異なります。|精神障害者保健福祉手帳は精神保健福祉法に基づきます。身体障害者手帳などとも根拠が異なります。|精神通院医療の自己負担を軽減する自立支援医療は、障害者総合支援法に基づきます。入院医療とは対象が異なります。
112-AM-068|本人の意思を尊重しつつ、成年後見人の権限と必要性を確認して計画を説明します。後見人に医療行為の包括的な同意権があるという意味ではありません。|民生委員にも守秘義務がありますが、それだけで経済状況を無条件に提供できません。共有の目的、必要性、同意等を確認します。|記録を通常のメールに添付するだけでは誤送信や漏えいの危険があります。必要な範囲と安全な共有手段を確認します。|他の利用者への説明に本人のケアプランをそのまま見せると個人情報を漏らします。匿名化した一般的な資料などを用います。
112-AM-069|通電火災の予防として重要ですが、酸素濃縮器が止まった際には酸素供給の確保を先に行います。|避難経路の確保も必要ですが、本問では停電により中断する酸素供給への対応が優先されます。|連絡による支援要請は必要に応じて行います。連絡を待つ間も酸素療法を継続できるよう備えます。|電源を必要とする濃縮器からボンベへ切り替え、処方された酸素供給を保ちます。平時から操作と残量を確認します。
112-AM-070|福祉用具貸与は居宅サービスに位置づけられ、設問の指定・監督主体に対応します。指定都市等への権限移譲は別に確認します。|小規模多機能型居宅介護は地域密着型サービスで、市町村が指定・監督します。|定期巡回・随時対応型訪問介護看護は地域密着型サービスで、市町村が指定・監督します。|認知症対応型共同生活介護は地域密着型サービスです。都道府県を基本とする一般の居宅サービスとは区別します。
112-AM-071|麻痺のある左手では十分に体を支えられない可能性があります。健側の右手で安定して握れる手すりを検討します。|一般に入るときは健側から、出るときは患側からを基本に、座位と介助を使って安全を確保します。動作は個別に評価します。|濡れた床では杖が滑るおそれがあります。浴室用の手すりや福祉用具を使い、安定した支持を確保します。|入浴台で腰掛ける位置を確保すると、片脚立ちで浴槽をまたぐ負担を減らせます。固定状態や高さも確認します。
112-AM-072|職員の意欲を高める働きかけは、指揮・動機付けに関わります。実績を評価し修正する統制とは段階が異なります。|目標を具体的な年間活動にするのは計画の段階です。結果と目標を比較する統制ではありません。|担当や役割を構成することは組織化です。活動の評価結果に応じた修正とは異なります。|実績を目標と照らして評価し、必要な修正を行うのが統制です。評価を次の活動改善に結び付けます。
112-AM-073|ストレスチェックは労働安全衛生法に基づきます。本問の300人の事業場では年1回の実施対象となります。|8時間を超える労働の休憩時間は労働基準法に基づきます。労働安全衛生法とは根拠が異なります。|生理日の就業が著しく困難な場合の措置は労働基準法に基づきます。|妊産婦の請求に基づく時間外労働等の制限は労働基準法に基づきます。
112-AM-074|高度な治療の導入だけでは住民の身近な健康課題に広く対応できません。地域に適した継続可能な方法が重要です。|研究の遂行を住民の必要より優先しません。住民の健康課題と参加を中心に活動します。|現地で利用・維持できる資源を生かすことは適正技術や持続可能性につながり、プライマリヘルスケアの原則に合います。|専門家だけを中心にせず、住民自身の参加と主体的な取組を支えます。派遣終了後も続く体制を考えます。
112-AM-075|蝸牛管の基底膜上にコルチ器があり、有毛細胞が音の振動を電気信号へ変換します。|半規管は頭の回転運動を感知し、平衡覚に関わります。音を感知するコルチ器の場所ではありません。|鼓室は中耳の空間で、耳小骨によって振動を内耳へ伝えます。コルチ器は内耳にあります。|鼓膜は音波によって振動し耳小骨へ伝えます。有毛細胞がある感覚器そのものではありません。|前庭は主に直線加速度や重力に対する頭の位置を感知します。聴覚を担う蝸牛とは役割が異なります。
112-AM-076|フィブリノゲンは大きな血漿蛋白で、正常な糸球体ではほとんど濾過されません。|ミオグロビンは比較的小さい蛋白で、血中に入ると糸球体で濾過されます。大量に出る場合は筋障害などを考えます。|アルブミンは正常では濾過障壁により通過が強く制限されます。ごく少量の濾過を否定する意味ではありません。|血小板は血球成分で、正常な糸球体濾過によって尿へ出るものではありません。|赤血球は正常な濾過障壁を通りません。尿中に多くみられる場合は出血や腎疾患などを評価します。
112-AM-077|水の流れによる対流も熱喪失に関わりますが、本問では冷水に直接触れて熱が移る熱伝導が問われています。|放射は電磁波として周囲へ熱を失うことです。冷水との直接接触による急速な熱移動とは異なります。|水は空気より熱を伝えやすく、皮膚から冷水へ熱が移動します。直接接触する物質との温度差による熱喪失です。|冷水への反応では、体温を保つため代謝を高めようとします。産熱低下が最初の主な原因ではありません。|寒冷刺激では震えなどで筋肉の産熱を増やします。冷水への熱喪失が大きく、その補償が追い付かなくなります。
112-AM-078|過剰なインスリンでまず注意するのは低血糖です。発熱は代表的な低血糖症状ではありません。|浮腫は本問が問う急性の低血糖症状ではありません。血糖低下に伴う自律神経症状を捉えます。|口渇は高血糖に伴う脱水などでみられます。インスリン過量による低血糖の代表所見とは異なります。|低血糖では冷汗や顔面蒼白などがみられます。顔面紅潮を典型的な所見とはしません。|血糖低下に対する交感神経反応で振戦、動悸、冷汗などが起こります。さらに進むと意識障害を来します。
112-AM-079|僧帽弁の開口が狭くなり、血液が左房から左室へ流れにくくなります。面積の拡大ではありません。|狭い弁口を通過しにくいため左房内圧が上がり、肺うっ血や左房拡大につながります。|狭心痛は大動脈弁狭窄などで重要です。僧帽弁狭窄の代表症状は労作時呼吸困難などです。|僧帽弁の狭窄はリウマチ性変化などで起こります。先天的な3尖化を代表的原因とはしません。|僧帽弁狭窄の拡張期雑音は主に心尖部で聴取します。胸骨右縁第2肋間は大動脈弁領域です。
112-AM-081|変形性膝関節症は女性に多く、加齢や肥満などが関わります。男性に多いという説明は適切ではありません。|まず運動療法、体重管理、薬物療法などの保存療法を検討します。症状や障害に応じて手術を選びます。|膝は変形性関節症の主要な好発部位です。「2番目」という順位の根拠は不明のため、この部分は要確認です。|明確な先行疾患などを特定できない一次性が多くを占めます。外傷等に続く二次性の方が多いという説明ではありません。|公式正答はこの選択肢です。経時的に進行する疾患ですが、「10年で半数」の対象集団と評価基準の根拠は不明で、確認が必要です。
112-AM-082|インフルエンザは学校感染症の第二種です。感染拡大予防のため、発症後の日数と解熱後の日数などで出席停止期間を判断します。|細菌性赤痢は第三種に分類されます。第二種のインフルエンザと区別します。|ジフテリアは第一種です。感染症法の分類と学校感染症の種別を混同しないようにします。|腸チフスは第三種です。第二種の代表はインフルエンザや麻疹などです。|流行性角結膜炎は第三種です。学校での感染拡大に注意しますが、第二種ではありません。
112-AM-083|成人の安静時脈拍70回/分は通常の範囲です。単独では緊急対応を要する値ではありません。|34.4℃は低体温を示します。測定の確かさと全身状態を確認し、保温や原因評価など速やかな対応が必要です。|呼吸数14回/分は成人の安静時として通常の範囲です。呼吸の深さや努力性も併せて評価します。|130/80mmHgは、この選択肢の中で緊急対応を要する血圧ではありません。普段の値や症状も確認します。|GCS15点は開眼・言語・運動反応が最良の状態です。意識障害を示す低い点数ではありません。
112-AM-084|加齢により頻尿が起こりやすくなります。膀胱機能や基礎疾患などの影響を評価します。|膀胱の機能的容量は減る傾向があります。容量増加を一般的な変化とはしません。|尿濃縮力や日内リズムの変化などから夜間尿が増えやすくなります。減少という説明は逆です。|排尿筋の機能低下や排出障害などで残尿が増えやすくなります。残尿は感染や頻尿にも関わります。|腎臓の尿濃縮力が低下します。尿比重が一律に上昇する変化として捉えません。
112-AM-085|定期のBCG接種前にツベルクリン反応を一律に行う制度ではありません。接種対象や禁忌を確認します。|ロタウイルスワクチンは経口の生ワクチンです。不活化ワクチンではありません。|ポリオの定期予防接種は継続されています。経口生ワクチンから不活化ワクチンへ変わったことと廃止を区別します。|麻疹は通常、麻疹風疹混合ワクチンによる2回接種です。就学までに4回という説明ではありません。|HPVワクチンは筋肉内注射します。製剤、開始年齢、接種歴により接種回数等を確認します。
112-AM-086|眼球突出は甲状腺眼症などでみられます。緑内障の中心的な病変ではありません。|視神経が障害され、視野が欠けていきます。失われた視機能の回復が難しいため進行予防が重要です。|硝子体混濁は硝子体の病変です。緑内障で主に障害されるのは視神経です。|視神経乳頭出血を伴う場合はありますが、眼底出血は緑内障全体を特徴づける主要所見としては選びません。|眼圧上昇は視神経障害の重要な要因です。ただし、正常範囲の眼圧でも発症する正常眼圧緑内障があります。
112-AM-087|骨量減少は骨折リスクなどに関わります。体内の水分貯蔵量低下を直接示す選択肢は筋肉量と細胞内液量です。|筋肉は水分を多く含みます。筋肉量が減ると体内に保持できる水分量が少なくなります。|細胞内液量が減ると体内の水分予備量が小さくなり、水分不足の影響を受けやすくなります。|高齢者では口渇を感じる反応が鈍くなることが問題です。感受性の亢進という説明は逆です。|抗利尿作用への腎臓の反応低下などが水分保持を難しくします。反応性の亢進を脱水の要因とはしません。
112-AM-088|応急入院は、必要な同意を直ちに得られない緊急の状況などで行う72時間以内の入院です。|緊急措置入院は自傷他害のおそれなどを要件とする行政による入院です。本人・家族の希望だけで解除されません。|退院等を求める権利があります。法上の請求先は都道府県知事で、精神医療審査会が審査する仕組みとして理解します。|任意入院でも指定医が必要と判断した場合、法律に基づき72時間を限度に退院を制限できる場合があります。|2名の指定医の判断の一致が必要なのは通常の措置入院です。医療保護入院の要件とは異なります。
112-AM-089|在宅療養や地域連携にもパスを活用できます。入院中にしか使えない仕組みではありません。|予定する検査・治療・ケアや目標を示すことで、患者と医療者が見通しを共有できます。|予定と異なる経過は生じた時点で把握して評価します。退院日まで判断を待ちません。|パスは情報共有を支えますが、相談や連携を不要にはしません。患者の変化に合わせた調整が必要です。|標準的な経過とケアを共有することで質のばらつきを減らせます。個別性に応じた変更も行います。
112-AM-090|褥瘡がどれだけ発生したかはケアの結果を示す指標です。患者のリスクなども考慮して評価します。|患者が受けたケアをどう評価したかはアウトカムの一つです。患者の経験や期待も踏まえて把握します。|研修の開催回数は教育活動の実施量です。患者への看護の結果を直接示しません。|離職率は人材管理上の指標です。本問の患者に対する看護アウトカムとしては発生率や満足度を選びます。|指導回数は行った行為の量を示すプロセス指標です。理解や自己管理の変化が結果に当たります。
